,Name,Description,Class,Modifier,Type,Required Proficiency,Rarity,Weight,Price,Special Attribute 1,Special Attribute 2,Special Attribute 3,Special Attribute 4,Location,Img url,UID,UUID
0,Vest of Soul Rejuvenation,"Vest of Soul Rejuvenation is a very rare Clothing that allows the wearer to heal on a successful saving throw against a spell, and can make an Unarmed Attack against any attacker that misses, using a Reaction. ",10,Dexterity,Clothing,,Very Rare,1.8kg / 3.6lb,4160 gp,"Defier's Rejuvenation: Whenever the wearer succeeds on a Saving throw against a Spell, they regain 1d4hit points.",Greater Kushigo Counter: The wearer can use a Reaction to make an Unarmed Strike against any attacker that misses.,Armour Class +2,,If Rolan is dead: Sold by Lorroakan's Projection in Sorcerous Sundries If Rolan and Lorroakan are both alive: Sold by Rolan in Sorcerous Sundries If Rolan is alive but Lorroakan is dead: Can be bought off of Rolan via trade option on the bottom left during dialogue in Ramazith's Tower,https://bg3.wiki/w/images/thumb/7/78/Vest_of_Soul_Rejuvenation_Icon.png/300px-Vest_of_Soul_Rejuvenation_Icon.png,MAG_BarbMonk_Cloth_A_2_Late,1c69a87e-9136-4e13-90af-c0f02d0fc81f
1,The Graceful Cloth,The Graceful Cloth is a rare piece of Clothing that gives its wearer +2 Dexterity and the Cat's Grace condition. It also boosts the wearer's Dexterity Saving Throws and jump distance. ,10,Dexterity,Clothing,,Rare,1.8kg / 3.6lb,800 gp / 1050 gpHHonour,"Cat's Grace: You gain Cat's Grace and increase your Dexterity by 2, to a maximum of 20.",Nimble As a Cat: You gain a +1 bonus to your Dexterity Saving throws and also increase your Jump distance by 1.5m / 5ft.,,,Cat's Grace  Has Advantage on Dexterity Checks. Takes half falling damage.,https://bg3.wiki/w/images/thumb/2/2e/The_Graceful_Cloth_Icon.png/300px-The_Graceful_Cloth_Icon.png,MAG_BarbMonk_Cloth_A_1,b18ef236-44dc-43cd-8f6e-51ae785fae4d
2,Shelter of Athkatla,"Shelter of Athkatla is a rare Clothing that grants the wearer Advantage against spell Saving Throws, and grants the ability to cast Mirror Image",10,Dexterity,Clothing,,Rare,1.8kg / 3.6lb,1000 gp,Spell Resistance: You have Advantage on Saving throws against spells.,Mirror Image: Cast as a level 2 spell (Recharge: Long rest).,,,Act Three: Looted from Lorroakan in Ramazith's Tower.,https://bg3.wiki/w/images/thumb/d/d3/Shelter_of_Athkatla_Icon.png/300px-Shelter_of_Athkatla_Icon.png,MAG_LC_Lorroakan_Robe,09e5d397-bcf6-456a-be6e-e6b474721f1c
3,Simple Cloth,There is currently no text in this page.,,,Not logged inTalkContributionsCreate accountLog in,,,,,,,,,,https://bg3.wiki/w/resources/assets/licenses/cc-by-nc-sa.png,,
4,Robe,A Robe is a common piece of Clothing. ,10,Dexterity,Clothing,,Common,1.8kg / 3.6lb,11 gp,,,,,"A Robe is a common piece of Clothing.      Crafted with care, this robe will protect you from the elements. It won't do much against a sword's thrust, though.  Properties    10 Armour Class + Dexterity modifier     Clothing   Rarity: Common   Weight: 1.8kg / 3.6lb   Price: 11 gp    UID  ARM_Robe_B_2    UUID  467cca20-42bb-45cd-8eac-6ed49bbc2707",https://bg3.wiki/w/images/thumb/0/05/Robe_B_Faded.png/300px-Robe_B_Faded.png,ARM_Robe_B,69302808-57a0-4fbb-9938-137bce5421d1
5,Robe of Exquisite Focus,The Robe of Exquisite Focus is a rare piece of Clothing that increases its wearer's Spell Save DC. ,10,Dexterity,Clothing,,Rare,1.8kg / 3.6lb,800 gp,High Spellcasting: You gain a +1 bonus to Spell Save DC.,,,,Sold by Araj Oblodra on the main floor of Moonrise Towers in Act Two.,https://bg3.wiki/w/images/thumb/5/5d/Robe_of_Exquisite_Focus_Icon.png/300px-Robe_of_Exquisite_Focus_Icon.png,MAG_OfArcanicAssault_Robe,1f038181-a534-434b-b447-7c4084636cc3
6,Robe of Spell Resistance,Robe of Spell Resistance is a rare Clothing that allows the wearer to resist the effects of spells. ,10,Dexterity,Clothing,,Rare,1.8kg / 3.6lb,gp,Saving throws +2,,,,"Not accessible through normal gameplay, but can still be accessed via third party tools.",https://bg3.wiki/w/images/thumb/e/ec/Shattered_Condition_Icon.webp/35px-Shattered_Condition_Icon.webp.png,MAG_OfSpellResistance_Robe,c3309d8f-8cff-4418-b064-bca8bd77700c
7,Robe of Supreme Defences,"The Robe of Supreme Defences is a very rare Clothing that adds your Spellcasting Modifier to your Saving Throws, when you are concentrating on a spell. ",10,Dexterity,Clothing,,Very Rare,1.8kg / 3.6lb,1600 gp,"Exquisite Focus: While concentrating, you add your Spellcasting Modifier to your Saving throws and gain a +1 bonus to your Armour Class.",,,,Purchased from Ferg Drogher near Requisitioned Barn in Rivington during Act Three.,https://bg3.wiki/w/images/thumb/f/f3/Robe_of_Supreme_Defences_Icon.png/300px-Robe_of_Supreme_Defences_Icon.png,MAG_OfArcanicDefense_Robe,f3e90ffd-1559-4915-8829-740f55741c92
8,Robe of the Weave,"Robe of the Weave is a very rare Clothing that allows the wearer to heal when succeeding a saving throw against a spell, and boosts Spell Save DC and Spell Attack by 1 each. ",10,Dexterity,Clothing,,Very Rare,1.8kg / 3.6lb,2900 gp,Arcane Enchantment: You gain a +1 bonus to Spell Save DC and Spell attack rolls.,"Weave Eater: Whenever the wearer succeeds a Saving throw against a spell, they regain 1d6hit points.",Armour Class +2,,Located inside an Globe of Invulnerability in Ramazith's Tower during Act Three. (Use See Invisibility to see the lever and disable the globe),https://bg3.wiki/w/images/thumb/0/0c/Robe_of_the_Weave_Icon.png/300px-Robe_of_the_Weave_Icon.png,MAG_EndGameCaster_Robe,56906f41-61a3-4c23-aa46-2295e08d9add
9,Potent Robe,The Potent Robe is a very rare piece of Clothing that uses your Charisma modifier to increase your cantrips' damage as well as give you temporary hit points. ,10,Dexterity,Clothing,,Very Rare,1.8kg / 3.6lb,1600 gp,Gregarious Caster: Your cantrips deal additional damage equal to your Charisma Modifier.,"Well-Liked and Well-Fortified: At the beginning of the wearer's turn, the robe activates, granting them Temporary Hit Points equal to their Charisma Modifier.",Armour Class +1,,Rewarded by Alfira for successfully completing Rescue the Tieflings in Act Two.,https://bg3.wiki/w/images/thumb/7/70/Potent_Robe_Icon.png/300px-Potent_Robe_Icon.png,MAG_CharismaCaster_Robe,1e64badf-4898-4169-9b02-3910518dc73d
