,Name,Description,One-Handed Damage,Two-Handed Damage,Main Damage Type,Extra Damage,Extra Damage Type,Type,Rarity,Enchantment,Wielding-Type,Throwable,Dippable,Extra Reach,Light,Melee/Range,Weight,Price,Special Attribute 1,Special Attribute 2,Special Attribute 3,Special Attribute 4,Action 1,Action 2,Action 3,Action 4,Special Action 1,Special Action 2,Special Action 3,Special Action 4,Location,Img url,UID,UUID
0,Battleaxe,"Battleaxe is a common variant of the Battleaxes family of weapons. It is a martial melee weapon that can be wielded in one hand, or with both hands for extra damage.",1d8 (1~8) + Strength modifier,1d10 (1~10) + Strength modifier,Slashing damage,,,Battleaxes,Common,None,Versatile,False,True,False,False,1.5m / 5 ft,1.8kg / 3.6lb,50 gp,,,,,Cleave: Swing your weapon in a large arc to attack up to 3 enemies at once. They each take half the damage your weapon usually deals.,Lacerate: Slash at your target's vital points to make it Bleed. Some Undead and Constructs can't suffer Bleeding.,Maiming Strike: Possibly Maims your target. They can't move. Flying creatures can't be Maimed.,,,,,,,https://bg3.wiki/w/images/thumb/5/55/Battleaxe_Faded.png/300px-Battleaxe_Faded.png,WPN_HUM_Battleaxe_A_0,a086b825-8f17-4f0e-855b-178f8cdc515a
1,Battleaxe +1,"Battleaxe +1 is an uncommon, lightly enchanted (+1) variant of the Battleaxes family of weapons. It is a martial melee weapon that can be wielded in one hand, or with both hands for extra damage.",1d8 + 1 (2~9) + Strength modifier,1d10 + 1 (2~11) + Strength modifier,Slashing damage,,,Battleaxes,Uncommon,+1,Versatile,False,True,False,False,1.5m / 5 ft,1.9kg / 3.8lb,65 gp,,,,,Cleave: Swing your weapon in a large arc to attack up to 3 enemies at once. They each take half the damage your weapon usually deals.,Lacerate: Slash at your target's vital points to make it Bleed. Some Undead and Constructs can't suffer Bleeding.,Maiming Strike: Possibly Maims your target. They can't move. Flying creatures can't be Maimed.,,,,,,Has a chance to be sold by any trader using the magic melee table each time the player resets trader's inventories by long resting or levelling up.,https://bg3.wiki/w/images/thumb/9/9d/Battleaxe_PlusOne_Faded.png/300px-Battleaxe_PlusOne_Faded.png,WPN_HUM_Battleaxe_A_1,c17ee133-cbb5-418f-88be-5ef27991cf50
2,Combination Axe,"Combination Axe is a rare, lightly enchanted (+1) variant of the Battleaxes family of weapons. It is a martial melee weapon that can be wielded in one hand, or with both hands for extra damage.",1d8 + 1 (2~9) + Strength modifier,1d10 + 1 (2~11) + Strength modifier,Slashing damage,,,Battleaxes,Rare,+1,Versatile,False,False,False,False,1.5m / 5 ft,1.8kg / 3.6lb,310 gp,Critical Virtuoso: When you score a Critical Hit you can spend a Bonus action to make an additional attack.,,,,Cleave: Swing your weapon in a large arc to attack up to 3 enemies at once. They each take half the damage your weapon usually deals.,Lacerate: Slash at your target's vital points to make it Bleed. Some Undead and Constructs can't suffer Bleeding.,Maiming Strike: Possibly Maims your target. They can't move. Flying creatures can't be Maimed.,,"Press the Advantage: After scoring a Critical Hit, use your Bonus action to make an additional attack.",,,,"Not accessible through normal gameplay, but can still be accessed via third party tools.",https://bg3.wiki/w/images/thumb/e/ec/Shattered_Condition_Icon.webp/35px-Shattered_Condition_Icon.webp.png,MAG_Critical_CriticalCombo_BattleAxe,35465a58-d21d-46b4-a429-64d187b0781f
3,Rebound Battleaxe,"Rebound Battleaxe is a rare, lightly enchanted (+1) special variant of the Battleaxes family of weapons. It is a martial melee weapon that can be wielded in one hand, or with both hands for extra damage.",1d8 + 1 (2~9) + Strength modifier,1d10 + 1 (2~11) + Strength modifier,Slashing damage,,,Battleaxes,Rare,+1,Versatile,False,False,False,False,1.5m / 5 ft,1.8kg / 3.6lb,310 gp,Favoured Weapon: This weapon has a +1 bonus to damage and Attack rolls.,It's All In The Wrists: This weapon has the Thrown property and deals an additional 1d4Thunder damage when thrown.,This blade's magical powers only function if it's Bound to an Eldritch Knight or is a Warlocks's Pact Weapon.,,Cleave: Swing your weapon in a large arc to attack up to 3 enemies at once. They each take half the damage your weapon usually deals.,Lacerate: Slash at your target's vital points to make it Bleed. Some Undead and Constructs can't suffer Bleeding.,Maiming Strike: Possibly Maims your target. They can't move. Flying creatures can't be Maimed.,,,,,,"Not accessible through normal gameplay, but can still be accessed via third party tools.",https://bg3.wiki/w/images/thumb/e/ec/Shattered_Condition_Icon.webp/35px-Shattered_Condition_Icon.webp.png,MAG_Bonded_Throwing_Battleaxe,d2d5141a-9804-49b6-96e2-5738d85feffa
4,Shadow Battleaxe,Shadow Battleaxe is an uncommon battle axe.,1d8 + 1 (2~9) + Strength modifier,1d10 + 1 (2~11) + Strength modifier,Slashing damage,1d4 (1~4),Necrotic damage,Battleaxes,Uncommon,+1,Versatile,False,True,False,False,1.5m / 5 ft,1.9kg / 3.8lb,gp,Bound Weapon,,,,Cleave: Swing your weapon in a large arc to attack up to 3 enemies at once. They each take half the damage your weapon usually deals.,Lacerate: Slash at your target's vital points to make it Bleed. Some Undead and Constructs can't suffer Bleeding.,Maiming Strike: Possibly Maims your target. They can't move. Flying creatures can't be Maimed.,,,,,,"Not accessible through normal gameplay, but can still be accessed via third party tools.",https://bg3.wiki/w/images/thumb/e/ec/Shattered_Condition_Icon.webp/35px-Shattered_Condition_Icon.webp.png,MAG_Shadow_Battleaxe,6364a270-0ca4-45e2-aab2-7673bb5c156e
5,Thermodynamo Axe,"Thermodynamo Axe is a rare, lightly enchanted (+1) Battleaxe that grants Heat whenever the wielder deals damage with this weapon and an unique weapon action, Maiming Strike (Weapon Action).",1d8 + 1 (2~9) + Strength modifier,1d10 + 1 (2~11) + Strength modifier,Slashing damage,,,Battleaxes,Rare,+1,Versatile,False,False,False,False,1.5m / 5 ft,1.8kg / 3.6lb,310 gp / 460 gpHHonour,"Thermodynamo: Whenever you deal damage with this weapon, you gain 2 turns of Heat.",,,,Cleave: Swing your weapon in a large arc to attack up to 3 enemies at once. They each take half the damage your weapon usually deals.,Lacerate: Slash at your target's vital points to make it Bleed. Some Undead and Constructs can't suffer Bleeding.,Maiming Strike: Possibly Maims your target. They can't move. Flying creatures can't be Maimed.,,,,,,"Heat Duration: 2 turns  Engulfed by a vengeful fire. Takes 1d4Fire damage each turn, but can use Heat Convergence. Heat Convergence consumes all remaining turns of Heat to deal extra Fire damage on their next spell or attack. Heat has a maximum Duration: 7 turns.",https://bg3.wiki/w/images/thumb/9/9d/Battleaxe_PlusOne_Faded.png/300px-Battleaxe_PlusOne_Faded.png,MAG_Fire_HeatOnWeaponDamage_Battleaxe,b8f28da8-f8f5-4679-8c5f-ecc505811208
6,Vicious Battleaxe,Vicious Battleaxe is a rare Battleaxe that deals additional damage on a Critical Hit.,1d8 + 2 (3~10) + Strength modifier,1d10 + 2 (3~12) + Strength modifier,Slashing damage,,,Battleaxes,Rare,+2,Versatile,False,False,False,False,1.5m / 5 ft,1.8kg / 3.6lb,310 gp,"Dolor Amarus: When you land a Critical Hit with any weapon attack, it deals an additional 7 damage.",,,,Cleave: Swing your weapon in a large arc to attack up to 3 enemies at once. They each take half the damage your weapon usually deals.,Lacerate: Slash at your target's vital points to make it Bleed. Some Undead and Constructs can't suffer Bleeding.,Maiming Strike: Possibly Maims your target. They can't move. Flying creatures can't be Maimed.,,,,,,Sold by Echo of Abazigal in the Murder Tribunal after the player character accepts Bhaal and becomes an Unholy Assassin.,https://bg3.wiki/w/images/thumb/9/9d/Battleaxe_PlusOne_Faded.png/300px-Battleaxe_PlusOne_Faded.png,MAG_Vicious_Battleaxe,3ff89075-1ef3-487e-b456-a1b536fd681a
7,Witchbreaker,"Witchbreaker is an uncommon +1 Battleaxe that grants Advantage against concentrating foes and has a unique weapon action, Hush You!.",1d8 + 1 (2~9) + Strength modifier,1d10 + 1 (2~11) + Strength modifier,Slashing damage,,,Battleaxes,Uncommon,+1,Versatile,False,True,False,False,1.5m / 5 ft,1.8kg / 3.6lb,100 gp,Witchbreaker: You gain Advantage on Attack rolls against concentrating creatures.,,,,Cleave: Swing your weapon in a large arc to attack up to 3 enemies at once. They each take half the damage your weapon usually deals.,Lacerate: Slash at your target's vital points to make it Bleed. Some Undead and Constructs can't suffer Bleeding.,Maiming Strike: Possibly Maims your target. They can't move. Flying creatures can't be Maimed.,,Hush You!: Slash a target and possibly Silence it.,,,,Sold by A'jak'nir Jeera at Crèche Y'llek.,https://bg3.wiki/w/images/thumb/9/9d/Battleaxe_PlusOne_Faded.png/300px-Battleaxe_PlusOne_Faded.png,MAG_Spellbreaker_Battleaxe,c77553e2-f192-4835-baa9-bdfb63521532
8,Club +1,,,,,,,,,,,False,False,False,False,,,,,,,,,,,,,,,,,https://bg3.wiki/w/resources/assets/licenses/cc-by-nc-sa.png,,
9,Club of Hill Giant Strength,Club of Hill Giant Strength is an uncommon club that that sets the wearer's Strength to 19.,1d4 (1~4) + Strength modifier,,Bludgeoning damage,,,Clubs,Uncommon,None,One-Handed,False,True,False,True,1.5m / 5 ft,0.9kg / 1.8lb,65 gp,Splinters of a Giant's Might: Increases Strength to 19.,,,,Concussive Smash: Hit an enemy with all your might to deal damage and possibly Daze them.,,,,,,,,"Found by breaking the Stool of Hill Giant Strength on the highest floor of Arcane Tower, with Bernard. The stool is underneath the thatched roof section in the furthest corner, standing upright. X:-26Y:-272",https://bg3.wiki/w/images/thumb/5/5b/Club_Icon.png/300px-Club_Icon.png,S_UND_StrengthChair_Leg,768010ce-dcfe-43bb-8398-2d681d4fa6eb
10,Enforcer Club,"Enforcer Club is an uncommon, lightly enchanted (+1) variant of the Clubs family of weapons. It is a simple melee weapon wielded in one hand. It's a light weapon that anyone can dual-wield without special training.",1d4 + 1 (2~5) + Strength modifier,,Bludgeoning damage,,,Clubs,Uncommon,+1,One-Handed,False,False,False,True,1.5m / 5 ft,0.9kg / 1.8lb,65 gp,Non-Lethality: This weapon deals only Non-Lethal Damage.,,,,Concussive Smash: Hit an enemy with all your might to deal damage and possibly Daze them.,Weakening Strike: Target an enemy's hands with a non-lethal attack and possibly inflict Weak Grip. Creatures without weapons can't have Weak Grip.,Backbreaker: Put extra force behind your strike to possibly knock your enemy Prone.,,,,,,"Not accessible through normal gameplay, but can still be accessed via third party tools.",https://bg3.wiki/w/images/thumb/e/ec/Shattered_Condition_Icon.webp/35px-Shattered_Condition_Icon.webp.png,MAG_Enforcer_NonLethalFright_Club,d3cd1f93-64bb-4d57-bafc-19ee1cefc564
